시군구코드,지정년도,지정번호,신청일자,지정일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분,소재지전화번호
3220000,2014,160,20141006,20141006,이도곰탕,"서울특별시 강남구 논현로94길 29-5, 지상1층,지상2층 (역삼동)",서울특별시 강남구 역삼동  671번지 17호  ,3220000-101-2001-24197,한식,곰탕,194.41,역삼1동,상수도전용,02 5010738
3220000,2021,139,20181001,20211116,솥내음 스타필드 코엑스몰점,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 O-107호 (삼성동)",서울특별시 강남구 삼성동  159번지  코엑스,3220000-101-2020-00643,한식,직화불백,74.56,삼성1동,,
3220000,2010,24,20100210,20100210,스시히로바,"서울특별시 강남구 삼성로 620, 블래스톤리조트 지상1층 (삼성동)",서울특별시 강남구 삼성동  70번지  블래스톤리조트,3220000-101-2002-00383,일식,초밥,216.56,삼성1동,상수도전용,02 5155511
3220000,2016,89,20161125,20161125,서백자 간장게장,"서울특별시 강남구 삼성로 542, 지상2층 (삼성동, 석천빌딩)",서울특별시 강남구 삼성동  151번지 4호  석천빌딩 2층,3220000-101-2012-00416,중국식,간장게장,260.3,삼성1동,,02  34536008
3220000,2016,84,20161125,20161125,주)봉산집,"서울특별시 강남구 삼성로 564, 지상2층,지상3층 (삼성동)",서울특별시 강남구 삼성동  145번지 19호  ,3220000-101-2011-01048,한식,차돌박이,452.95,삼성1동,,
3220000,2016,76,20161125,20161125,더드림,"서울특별시 강남구 선릉로 518, 지하1층 (삼성동)",서울특별시 강남구 삼성동  140번지 25호  ,3220000-101-2012-00882,한식,김치찌개,110.3,삼성1동,,02  536 8153
3220000,2019,368,20191128,20190930,국민한우집 삼성역점(구 칠프로칠백식당 포스코점),"서울특별시 강남구 테헤란로82길 11, (대치동)",서울특별시 강남구 대치동  942번지 13호  ,3220000-101-1998-08200,경양식,칠백한우동,123.19,대치2동,상수도전용,02555 5245
3220000,2010,25,20100210,20100210,이즈미,"서울특별시 강남구 언주로 857, 지상1층 (신사동)",서울특별시 강남구 신사동  621번지 3호  ,3220000-101-2000-21072,한식,회,329.22,신사동,상수도전용,02 5110107
3220000,2014,18,20141006,20141006,홍영재 장수 청국장,"서울특별시 강남구 영동대로 424, 지상1층 (대치동)",서울특별시 강남구 대치동  1001번지  지상1층,3220000-101-2013-00292,한식,청국장,398.68,대치2동,,
3220000,2010,14,20100210,20100210,등대,"서울특별시 강남구 영동대로 342, (대치동,지상1층)",서울특별시 강남구 대치동  1006번지 0호  지상1층,3220000-101-2003-00016,한식,복요리,148.76,대치2동,상수도전용,5620505
3220000,2010,61,20100730,20100915,(주)아구본가첨벙대치,"서울특별시 강남구 도곡로 426, (대치동,지상2층)",서울특별시 강남구 대치동  1023번지 3호  지상2층,3220000-101-2009-00650,한식,아구찜,309.8,대치1동,상수도전용,02  538 0104
3220000,2017,456,20171010,20171124,김태준의 탕탕집,"서울특별시 강남구 학동로4길 12, 1,2층 (논현동)",서울특별시 강남구 논현동  141번지 15호  ,3220000-101-2016-00310,한식,설렁탕,162.38,논현1동,,25113235
3220000,2010,12,20100210,20100210,불이아,"서울특별시 강남구 언주로 711, (논현동,건설회관지하1층)",서울특별시 강남구 논현동  71번지 2호  건설회관지하1층,3220000-101-2005-00439,중국식,훠궈,393.36,논현2동,상수도전용,02  517 6689
3220000,2016,101,20161125,20161125,경성면옥,"서울특별시 강남구 테헤란로87길 36, 지하1층 B10호 (삼성동, 도심공항타워)",서울특별시 강남구 삼성동  159번지  ,3220000-101-2002-00779,한식,"회, 물냉면",148.23,삼성1동,상수도전용,02  539 9966
3220000,2016,102,20161125,20161124,밀밭,,서울특별시 강남구 삼성동  159번지 9호  지하1층 B7호,3220000-101-2003-00536,분식,손수제비,74.07,삼성1동,상수도전용,
3220000,2016,103,20161125,20161125,안동찜닭 해물떡찜,"서울특별시 강남구 영동대로 513, 지하1층 M109호 (삼성동, B1 코엑스몰)",서울특별시 강남구 삼성동  159번지  지하1층,3220000-101-2000-21742,한식,안동찜닭,66.36,삼성1동,상수도전용,260026447
3220000,2016,105,20161125,20161125,니뽕내뽕(코엑스점),"서울특별시 강남구 영동대로 513, 컨벤션센타동 지하1층 H117호 (삼성동, 코엑스몰)",서울특별시 강남구 삼성동  159번지  ,3220000-101-2014-01134,중국식,"자장면,짬뽕",84.83,삼성1동,,02  60025151
3220000,2010,11,20100210,20100210,세화정육,"서울특별시 강남구 언주로134길 14, (논현동)",서울특별시 강남구 논현동  115번지 25호  ,3220000-101-1994-15094,한식,"갈시,고등어구이",189.04,논현2동,상수도전용,234466962
3220000,2016,129,20161125,20161125,신의주 부대찌개 삼성점,"서울특별시 강남구 봉은사로108길 3-10, (삼성동)",서울특별시 강남구 삼성동  162번지 19호  ,3220000-101-1995-09499,한식,부대찌개,74.17,삼성1동,상수도전용,02 5385503
3220000,2010,19,20100210,20100210,지호한방삼계탕,"서울특별시 강남구 영동대로115길 16, 지상1층 (삼성동)",서울특별시 강남구 삼성동  76번지 13호  ,3220000-101-2006-00717,한식,삼계탕,156.42,삼성1동,상수도전용,02 5127283
3220000,2014,38,20141006,20141006,차이나타운,"서울특별시 강남구 봉은사로63길 7, A동 지상1층 103호 (삼성동, 수목빌딩)",서울특별시 강남구 삼성동  38번지 18호 A 수목빌딩 지상1층-103,3220000-101-1994-13039,중국식,자장면,37.87,삼성1동,상수도전용,02 5393222
3220000,2010,24,20100210,20100210,오발탄(주)오발탄에프에스,"서울특별시 강남구 삼성로 606, (삼성동,지상1,2층)","서울특별시 강남구 삼성동  71번지 14호  지상1,2층",3220000-101-1999-18938,한식,양대창구이,660.82,삼성1동,상수도전용,02 5438656
3220000,2010,62,20100730,20100915,가원,"서울특별시 강남구 광평로 234, (수서동,지상2,3층)","서울특별시 강남구 수서동  461번지 37호  지상2,3층",3220000-101-2007-00436,한식,오리구이,279.2,수서동,상수도전용,
3220000,2016,141,20161125,20161125,대흥정 엘에이 갈비,"서울특별시 강남구 광평로46길 5-4, 지상1층 (수서동)",서울특별시 강남구 수서동  448번지 4호  지상1층,3220000-101-2012-00939,한식,불고기,141.34,수서동,,
3220000,2010,20,20100210,20100210,아야진생태찌개,"서울특별시 강남구 삼성로108길 8, (삼성동,(101호))",서울특별시 강남구 삼성동  150번지 2호  (101호),3220000-101-2007-00781,한식,생태찌개,185.42,삼성1동,상수도전용,02  555 2680
3220000,2016,80,20161125,20161125,수림복국,"서울특별시 강남구 테헤란로77길 11-13, (삼성동,마룡빌딩지상1층)",서울특별시 강남구 삼성동  143번지 22호  마룡빌딩지상1층,3220000-101-2003-01030,한식,복어정식,148.76,삼성2동,상수도전용,5692209
3220000,2012,2,20120706,20120706,평가옥,"서울특별시 강남구 삼성로95길 37, (삼성동,지상1층)",서울특별시 강남구 삼성동  143번지 1호  지상1층,3220000-101-2007-00018,한식,냉면,215.02,삼성2동,상수도전용,
3220000,2016,86,20161125,20161125,바오바오,"서울특별시 강남구 봉은사로 516, 지하2층 B201호 (삼성동, 미켈란147)",서울특별시 강남구 삼성동  147번지 2호  ,3220000-101-2014-01154,중국식,팔보채,285.15,삼성1동,,
3220000,2010,60,20080630,20100210,(주)곰바위,"서울특별시 강남구 삼성로 542, (삼성동,지하1층,지상1층)","서울특별시 강남구 삼성동  151번지 4호  지하1층,지상1층",3220000-101-2007-00782,한식,양대창구이,432.16,삼성1동,상수도전용,02  552 7761
3220000,2016,85,20161125,20161125,황소곱창,"서울특별시 강남구 봉은사로82길 16, (삼성동,지상1층)",서울특별시 강남구 삼성동  145번지 29호  지상1층,3220000-101-2011-00583,한식,한우곱창,99,삼성1동,상수도전용,
